iter	MAE
0	0.6050280506
1	0.5896229053
2	0.5749541433
3	0.5617540898
4	0.5487368954
5	0.5359034508
6	0.5233049201
7	0.5132045698
8	0.5023261135
9	0.4926348446
10	0.4844376116
11	0.475534252
12	0.4679940221
13	0.4609028944
14	0.454130193
15	0.4473225818
16	0.4411283512
17	0.4351449921
18	0.428456762
19	0.423458268
20	0.4182059159
21	0.4129473302
22	0.4090348558
23	0.4056518441
24	0.4017565993
25	0.3978726696
26	0.3940521474
27	0.3914328013
28	0.3886709087
29	0.3864155434
30	0.3836782283
31	0.3817105928
32	0.3796183807
33	0.3773303941
34	0.374916738
35	0.3730824554
36	0.3715751567
37	0.3697376188
38	0.3679400719
39	0.3661524828
40	0.3644608451
41	0.3630590329
42	0.3616451769
43	0.3601498316
44	0.3586192782
45	0.3573051097
46	0.3562270721
47	0.3549970085
48	0.3544406144
49	0.3532861818
50	0.352247303
51	0.3512345059
52	0.3502110333
53	0.3487915398
54	0.3478415548
55	0.3472059598
56	0.3459369592
57	0.3450268577
58	0.3441805058
59	0.3436835304
60	0.3429632007
61	0.3423190519
62	0.3414952627
63	0.3407454745
64	0.3398966345
65	0.339368562
66	0.3387671494
67	0.3383067857
68	0.3377325972
69	0.3366390097
70	0.3362432537
71	0.3358087433
72	0.334904254
73	0.3345134228
74	0.3337641503
75	0.3327475376
76	0.3321955885
77	0.3317349923
78	0.3311235413
79	0.3302440042
80	0.3297573223
81	0.3292807576
82	0.3288978812
83	0.32811154
84	0.3277498177
85	0.3275145636
86	0.3268839933
87	0.3265317449
88	0.3261315045
89	0.3259812287
90	0.3257869921
91	0.3253981555
92	0.3249340373
93	0.3246736443
94	0.3243521505
95	0.3241568518
96	0.3236217906
97	0.3230786882
98	0.3227371291
99	0.3225519595
100	0.3221238572
101	0.3217738564
102	0.3214583337
103	0.3213091204
104	0.3209312008
105	0.3205526693
106	0.3201727796
107	0.3196522088
108	0.3194059921
109	0.319148849
110	0.3189361808
111	0.3185276046
112	0.317942008
113	0.3173402833
114	0.3171520353
115	0.3167856656
116	0.3165407344
117	0.3162610854
118	0.3160508602
119	0.3158480108
120	0.3156587685
121	0.3153331279
122	0.3151031855
123	0.3148047769
124	0.3145985986
125	0.3143933846
126	0.3139530649
127	0.3134864133
128	0.3133470184
129	0.3130377815
130	0.3126216651
131	0.3124501966
132	0.3122018459
133	0.3119478589
134	0.3117368361
135	0.3115551296
136	0.3112480856
137	0.311018275
138	0.3106671335
139	0.3102789211
140	0.3099233931
141	0.3095031139
142	0.3090940049
143	0.3089289093
144	0.3085079834
145	0.3083054935
146	0.3081687241
147	0.3078064845
148	0.3074828608
149	0.3071985029
150	0.307009089
151	0.3066636489
152	0.3065216916
153	0.30614282
154	0.3058829005
155	0.3057701784
156	0.3054863649
157	0.3050163674
158	0.3046198529
159	0.3045323318
160	0.3043543602
161	0.3039304949
162	0.3036973883
163	0.3034173915
164	0.3031378857
165	0.3027625019
166	0.302420709
167	0.3020814324
168	0.3019033025
169	0.3016637591
170	0.3012982744
171	0.3009441235
172	0.3005705726
173	0.3004064128
174	0.3002299318
175	0.2999818859
176	0.2996866479
177	0.2994727362
178	0.2991712622
179	0.2987342211
180	0.2985574136
181	0.2982964894
182	0.2980832028
183	0.297670777
184	0.2975452865
185	0.2972183784
186	0.2969830864
187	0.2965294252
188	0.2962811436
189	0.2958637266
190	0.2955653398
191	0.2953740763
192	0.2951787501
193	0.2948753893
194	0.2947516034
195	0.2945229525
196	0.2941994412
197	0.2939266102
198	0.2937365666
199	0.2933973418
200	0.292825379
201	0.2927026919
202	0.2925604693
203	0.2924044797
204	0.2922424638
205	0.2920195118
206	0.2918095542
207	0.2915850432
208	0.2913845395
209	0.2911998089
210	0.2909854015
211	0.2905416765
212	0.2904235843
213	0.2901476369
214	0.2900455711
215	0.2896100334
216	0.2892965495
217	0.2891744226
218	0.2888280149
219	0.2885422617
220	0.2882505559
221	0.2879486996
222	0.2878132017
223	0.2876159844
224	0.2872274413
225	0.2867984621
226	0.2867283847
227	0.2862971176
228	0.2860495499
229	0.2858509381
230	0.28564308
231	0.2854374082
232	0.285305921
233	0.2847640595
234	0.2845789247
235	0.2841766068
236	0.2839731683
237	0.2838650339
238	0.2833526326
239	0.2832471829
240	0.2831186039
241	0.2829149521
242	0.2827732306
243	0.2826098634
244	0.2824654909
245	0.2823152859
246	0.2820537733
247	0.2818334495
248	0.2816580468
249	0.2812811338
250	0.2811218749
251	0.2808639979
252	0.2807005416
253	0.2803749481
254	0.2801610975
255	0.2798549158
256	0.2796577307
257	0.2792540283
258	0.2789581056
259	0.2787593659
260	0.2785754143
261	0.2783516312
262	0.2781494601
263	0.278058603
264	0.2778998022
265	0.277720908
266	0.2774705371
267	0.2771793749
268	0.2768335144
269	0.2766535831
270	0.276519512
271	0.2762033061
272	0.2759719397
273	0.275657746
274	0.275386953
275	0.2751592675
276	0.275000006
277	0.2746715033
278	0.2744453791
279	0.2742440387
280	0.2741455798
281	0.2737776651
282	0.2737229348
283	0.2734980035
284	0.2731177783
285	0.2729463048
286	0.2724734211
287	0.272218716
288	0.2720370373
289	0.2719419294
290	0.2718340428
291	0.2714459189
292	0.27129324
293	0.2711212853
294	0.2708624826
295	0.2707473966
296	0.2704904631
297	0.2702439611
298	0.2700648174
299	0.2697887112
300	0.2694615184
301	0.2692074983
302	0.2691617557
303	0.2690164174
304	0.2688027894
305	0.2685673092
306	0.2684579072
307	0.2683252288
308	0.2682025651
309	0.2681759512
310	0.2680089693
311	0.267874303
312	0.2676078309
313	0.2674725686
314	0.2672383596
315	0.2671504279
316	0.2670266681
317	0.2668720603
318	0.2667270489
319	0.2665245341
320	0.2662970102
321	0.2662107332
322	0.2661243201
323	0.26598575
324	0.2659641995
325	0.2657321541
326	0.2656372581
327	0.265324193
328	0.2652761154
329	0.2652184663
330	0.2651509575
331	0.264811674
332	0.2645419049
333	0.2644418285
334	0.2643144206
335	0.2641136328
336	0.2639845909
337	0.2639004111
338	0.2636035897
339	0.2634260031
340	0.2632252993
341	0.2630777398
342	0.2630275651
343	0.2629338286
344	0.262859702
345	0.2626989551
346	0.2625355005
347	0.2624821318
348	0.262368731
349	0.2621673917
350	0.2619323405
351	0.2617368598
352	0.2616625639
353	0.2614461884
354	0.2613656665
355	0.2613169746
356	0.2608984669
357	0.2607417392
358	0.2606697757
359	0.2604682546
360	0.2602443729
361	0.2601633297
362	0.260008349
363	0.2598710804
364	0.2597347229
365	0.2595189333
366	0.2594364264
367	0.2593133887
368	0.2591970692
369	0.2589670939
370	0.2587473232
371	0.2584377787
372	0.2582710418
373	0.2581506064
374	0.2580061396
375	0.2577020066
376	0.2576071853
377	0.2575007365
378	0.2572562624
379	0.2571947087
380	0.2570396385
381	0.2568829129
382	0.2567707517
383	0.256637063
384	0.2565105861
385	0.2564234827
386	0.2562039158
387	0.2561042119
388	0.2559862883
389	0.2558376886
390	0.2556127029
391	0.2553621497
392	0.2552164474
393	0.2550943921
394	0.2550268582
395	0.2549473322
396	0.2548436704
397	0.254683605
398	0.2544980931
399	0.2543407634
400	0.2542743344
401	0.2540189247
402	0.2539118051
403	0.2537598692
404	0.253620658
405	0.2534403888
406	0.2531156658
407	0.2529834596
408	0.2528314827
409	0.2526961965
410	0.2522718923
411	0.2521142052
412	0.2519464788
413	0.2518091568
414	0.2516551702
415	0.2515382411
416	0.2513504179
417	0.2512625094
418	0.2511709883
419	0.2509357113
420	0.2507202031
421	0.250688257
422	0.250620922
423	0.2504026169
424	0.2503472927
425	0.2502425602
426	0.2501310224
427	0.2500094268
428	0.2499475574
429	0.2498404339
430	0.2497587267
431	0.2496822977
432	0.2495133951
433	0.2493424224
434	0.2492271824
435	0.2491888758
436	0.2489221736
437	0.2488721426
438	0.2487872167
439	0.2486314093
440	0.2484869314
441	0.2484551027
442	0.248273528
443	0.2481695773
444	0.2480516425
445	0.247990935
446	0.247911418
447	0.2478151595
448	0.2477340202
449	0.2475476441
450	0.2475327892
451	0.2475163244
452	0.2473873058
453	0.2472708261
454	0.2470736117
455	0.2469449889
456	0.2467981654
457	0.2466710514
458	0.2465918823
459	0.2464627628
460	0.2463541334
461	0.2463031844
462	0.2462069989
463	0.2461062713
464	0.2460831288
465	0.2460164708
466	0.2459648116
467	0.245877312
468	0.2458447571
469	0.245645816
470	0.2455868079
471	0.2454424534
472	0.2453490942
473	0.245243389
474	0.245220305
475	0.2451771507
476	0.2451264082
477	0.2450489009
478	0.2448870088
479	0.244818256
480	0.2447688546
481	0.2446852175
482	0.2446328295
483	0.2445227554
484	0.2444249267
485	0.2443470499
486	0.2442707347
487	0.2441222041
488	0.2440905911
489	0.2438292061
490	0.2437632997
491	0.2435369715
492	0.243395479
493	0.2433543262
494	0.243336688
495	0.2432306775
496	0.2431879549
497	0.2431005677
498	0.2430001596
499	0.2428165266
500	0.2427702063
501	0.2426079267
502	0.2424061269
503	0.2422644424
504	0.2421484826
505	0.242084933
506	0.2420021857
507	0.2418322524
508	0.2417141073
509	0.2415604375
510	0.2412981723
511	0.2412900039
512	0.2412077005
513	0.2411008877
514	0.2409955238
515	0.2409882824
516	0.2407661888
517	0.2407603522
518	0.2406938953
519	0.2406130638
520	0.2405710866
521	0.240524596
522	0.2404482743
523	0.2403957865
524	0.2403271581
525	0.2402993502
526	0.2402522501
527	0.240225256
528	0.2401357624
529	0.2400920938
530	0.2400567509
531	0.2399436132
532	0.2398536899
533	0.239708907
534	0.2396825894
535	0.2396551606
536	0.2396320645
537	0.2395483582
538	0.2394460524
539	0.2393042087
540	0.2391813192
541	0.2390129043
542	0.2389343553
543	0.2388474226
544	0.2385736498
545	0.2385390741
546	0.2383632393
547	0.2383133197
548	0.2382146842
549	0.2380518896
550	0.2379458903
551	0.2378622798
552	0.2378234962
553	0.2376141537
554	0.2375791928
555	0.2375145201
556	0.2374912787
557	0.2373878489
558	0.2373202903
559	0.2372552042
560	0.2370893205
561	0.236922848
562	0.2368330522
563	0.2367709916
564	0.2367400122
565	0.2366181598
566	0.2365757578
567	0.2365187763
568	0.2364309658
569	0.2364076213
570	0.2363749087
571	0.2362839838
572	0.2361411664
573	0.2360831131
574	0.2359962909
575	0.235865307
576	0.2357107513
577	0.2356446517
578	0.2355173467
579	0.2354278039
580	0.2353852149
581	0.2353438713
582	0.2352960395
583	0.235252282
584	0.2352087829
585	0.2351865879
586	0.2351305283
587	0.2350486575
588	0.2350237037
589	0.2348919729
590	0.2348069418
591	0.2347687183
592	0.2346594147
593	0.2346245162
594	0.2345628
595	0.2345311236
596	0.2344438986
597	0.2344265496
598	0.234355822
599	0.2342772418
600	0.2339696179
601	0.2339310885
602	0.2338499655
603	0.2337219082
604	0.2336063452
605	0.2335351326
606	0.2334804732
607	0.2334740058
608	0.2333479912
609	0.2333191254
610	0.2331238109
611	0.2331073106
612	0.2330531778
613	0.2329406482
614	0.232892366
615	0.2328061658
616	0.232667725
617	0.2326533499
618	0.2326094054
619	0.2324551673
620	0.232437992
621	0.2323973604
622	0.2323388292
623	0.2322573959
624	0.2322274052
625	0.2320778166
626	0.2320200502
627	0.2319394282
628	0.231926765
629	0.2317675406
630	0.2317355709
631	0.2316823381
632	0.2316045256
633	0.2315290855
634	0.2314273768
635	0.231360528
636	0.2312681398
637	0.2311916647
638	0.231151161
639	0.2310713938
640	0.2310048193
641	0.2309473633
642	0.2309408176
643	0.2308521128
644	0.2308242562
645	0.2306951745
646	0.2305419433
647	0.2303753292
648	0.2303286792
649	0.2302913061
650	0.2302746303
651	0.2300983407
652	0.2299957849
653	0.2299694221
654	0.2299002051
655	0.2298903542
656	0.2298717049
657	0.2298159072
658	0.2297028355
659	0.2296480865
660	0.2296367555
661	0.2296117919
662	0.2295234538
663	0.2294927768
664	0.2294431068
665	0.2293159422
666	0.2292420483
667	0.2291495054
668	0.2290622279
669	0.2290418413
670	0.2289566861
671	0.2288017871
672	0.2287500764
673	0.2286218177
674	0.228525992
675	0.2284153061
676	0.2282477359
677	0.2281054156
678	0.2279433185
679	0.2278804997
680	0.2278548192
681	0.2277257775
682	0.2276460137
683	0.2276177679
684	0.227492636
685	0.2274167335
686	0.2273807135
687	0.2273189378
688	0.2271033615
689	0.2269914605
690	0.2269807406
691	0.2267493342
692	0.2267191262
693	0.2267059129
694	0.2265780365
695	0.2264217479
696	0.2263936054
697	0.2263076853
698	0.2263006014
699	0.2262716983
700	0.2261059303
701	0.2259728049
702	0.2258790844
703	0.2258679299
704	0.2258268428
705	0.225727851
706	0.2257138831
707	0.2256830919
708	0.2256323462
709	0.2255804308
710	0.2255739646
711	0.2254953968
712	0.2254457231
713	0.2253472651
714	0.2253193984
715	0.2253116506
716	0.2252379787
717	0.2250571811
718	0.2250500107
719	0.2249946232
720	0.2249364191
721	0.2248852531
722	0.2248410882
723	0.2247648219
724	0.2247201168
725	0.2246338338
726	0.2245745507
727	0.2245231719
728	0.2244385859
729	0.2243412231
730	0.2243205423
731	0.2242600116
732	0.2242110132
733	0.224069147
734	0.2240454407
735	0.2240394822
736	0.2239225274
737	0.2238904356
738	0.2238698917
739	0.2237793024
740	0.223715393
741	0.2236851493
742	0.2236557582
743	0.2236293086
744	0.2236063822
745	0.2233981914
746	0.2232356754
747	0.2229633047
748	0.222916838
749	0.2228388265
750	0.2227988826
751	0.2226821216
752	0.222618889
753	0.2225022228
754	0.2223686178
755	0.2222605779
756	0.2221990879
757	0.2221283657
758	0.2221081193
759	0.2219950769
760	0.2219137548
761	0.2219081072
762	0.2218691991
763	0.2218441758
764	0.2217261693
765	0.2217196333
766	0.2216878168
767	0.2215880942
768	0.2215592823
769	0.2214320073
770	0.2214035454
771	0.2213294634
772	0.2212464792
773	0.2212055298
774	0.2210876923
775	0.221047537
776	0.2209860517
777	0.2209425428
778	0.2209355346
779	0.2209322278
780	0.2208915834
781	0.220804578
782	0.2207385217
783	0.2205863941
784	0.2205142249
785	0.220501738
786	0.2204893377
787	0.220452743
788	0.2204190912
789	0.2203800144
790	0.2202680881
791	0.2202469061
792	0.2202395724
793	0.2201274823
794	0.2200827879
795	0.2200190534
796	0.2199779606
797	0.2199405223
798	0.2198379539
799	0.2197584763
