iter	Passed	Remaining
0	2	2285
1	8	4071
2	9	3123
3	10	2705
4	12	2452
5	13	2281
6	15	2180
7	16	2043
8	17	1911
9	18	1878
10	20	1836
11	23	1938
12	25	1945
13	27	1937
14	29	1924
15	31	1911
16	32	1886
17	34	1894
18	35	1835
19	36	1812
20	38	1790
21	39	1770
22	41	1750
23	42	1717
24	43	1703
25	45	1690
26	46	1680
27	47	1655
28	49	1642
29	49	1612
30	50	1579
31	51	1572
32	53	1564
33	54	1557
34	55	1540
35	56	1518
36	58	1514
37	59	1510
38	61	1508
39	62	1505
40	64	1502
41	65	1501
42	67	1496
43	68	1495
44	70	1486
45	71	1484
46	72	1462
47	73	1458
48	75	1456
49	76	1455
50	78	1456
51	79	1452
52	81	1450
53	82	1447
54	84	1443
55	85	1433
56	86	1431
57	87	1428
58	89	1425
59	90	1423
60	91	1409
61	93	1407
62	94	1405
63	95	1403
64	97	1401
65	98	1398
66	99	1391
67	101	1391
68	103	1389
69	104	1391
70	105	1382
71	107	1382
72	108	1381
73	110	1379
74	111	1378
75	113	1379
76	115	1379
77	116	1380
78	118	1382
79	120	1381
80	121	1380
81	123	1378
82	124	1377
83	126	1379
84	128	1380
85	129	1379
86	131	1384
87	133	1383
88	135	1384
89	136	1383
90	138	1382
91	140	1385
92	141	1383
93	143	1383
94	145	1382
95	146	1381
96	148	1380
97	150	1380
98	150	1373
99	152	1370
100	152	1359
101	154	1357
102	156	1359
103	157	1358
104	159	1355
105	160	1353
106	162	1352
107	163	1353
108	165	1351
109	166	1350
110	168	1348
111	169	1345
112	171	1343
113	172	1341
114	173	1339
115	175	1336
116	176	1334
117	178	1332
118	179	1330
119	181	1329
120	182	1327
121	184	1326
122	186	1326
123	187	1325
124	188	1322
125	190	1320
126	191	1318
127	193	1317
128	194	1315
129	195	1309
130	196	1306
131	198	1306
132	200	1304
133	201	1302
134	203	1301
135	204	1299
136	206	1298
137	207	1297
138	209	1297
139	211	1296
140	212	1295
141	214	1295
142	215	1294
143	217	1293
144	219	1293
145	220	1292
146	222	1292
147	225	1298
148	227	1298
149	229	1299
150	231	1299
151	232	1298
152	234	1298
153	236	1297
154	237	1295
155	239	1294
156	240	1292
157	242	1292
158	244	1294
159	246	1294
160	248	1292
161	249	1290
162	251	1290
163	252	1288
164	254	1288
165	256	1287
166	257	1286
167	259	1284
168	260	1283
169	262	1282
170	264	1283
171	266	1283
172	268	1281
173	269	1280
174	286	1350
175	287	1347
176	289	1344
177	290	1341
178	291	1338
179	293	1335
180	294	1332
181	295	1329
182	297	1327
183	297	1321
184	299	1320
185	301	1317
186	302	1315
187	303	1312
188	305	1309
189	306	1306
190	307	1304
191	309	1301
192	310	1298
193	311	1296
194	313	1293
195	314	1290
196	316	1289
197	318	1289
198	320	1288
199	321	1286
200	323	1285
201	325	1286
202	327	1284
203	328	1282
204	330	1282
205	332	1279
206	333	1277
207	334	1274
208	336	1273
209	337	1270
210	339	1268
211	340	1266
212	342	1264
213	343	1261
214	345	1259
215	346	1257
216	348	1255
217	349	1253
218	350	1251
219	352	1249
220	353	1244
221	354	1242
222	355	1240
223	357	1237
224	358	1236
225	360	1233
226	361	1231
227	363	1229
228	364	1227
229	365	1224
230	367	1222
231	368	1220
232	370	1218
233	371	1216
234	372	1213
235	374	1211
236	375	1210
237	377	1208
238	378	1206
239	380	1204
240	381	1202
241	383	1200
242	384	1198
243	386	1196
244	387	1194
245	389	1192
246	390	1190
247	392	1188
248	393	1186
249	394	1184
250	396	1182
251	397	1180
252	398	1177
253	400	1175
254	401	1173
255	403	1171
256	404	1169
257	405	1167
258	407	1166
259	409	1164
260	410	1162
261	412	1160
262	413	1159
263	415	1157
264	416	1155
265	418	1153
266	419	1151
267	421	1149
268	422	1147
269	423	1145
270	425	1144
271	426	1142
272	428	1140
273	429	1138
274	431	1136
275	432	1134
276	433	1132
277	435	1130
278	436	1128
279	438	1126
280	439	1124
281	441	1123
282	442	1121
283	443	1119
284	445	1117
285	446	1115
286	448	1113
287	449	1111
288	451	1110
289	452	1108
290	454	1106
291	455	1104
292	457	1102
293	458	1100
294	459	1099
295	461	1097
296	463	1096
297	464	1094
298	466	1092
299	467	1091
300	468	1089
301	470	1087
302	471	1085
303	473	1083
304	474	1081
305	476	1079
306	477	1078
307	479	1076
308	480	1074
309	482	1072
310	483	1071
311	484	1069
312	486	1067
313	487	1065
314	489	1063
315	490	1061
316	491	1059
317	493	1058
