Gender,Age,H.S.C passing year,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,How many hour do you spent daily on your skill development?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,What is your monthly family income?,Creditos_Normalizados,Semestres_Teoricos,Semestres_Reales,Semestres_Extra,Status of your English language proficiency_Basic,Status of your English language proficiency_Intermediate,What is your relationship status?_Married,What is your relationship status?_Relationship,What is your relationship status?_Single
1,24,2016,1,0,3,2,0,1,1,5,90,0,0,1,2,1,1,0,13.400,0,15.750,25000,116.900,14,12,-2,False,True,False,False,True
1,22,2020,1,1,3,2,1,1,1,3,96,1,0,0,2,1,0,0,13.400,0,15.750,100000,56.100,8,4,-4,True,False,False,False,True
0,21,2019,0,0,3,3,0,1,1,3,80,0,0,1,1,0,1,0,13.400,0,15.750,50000,77.900,10,5,-5,False,True,False,False,True
1,20,2020,1,0,1,3,0,1,1,2,88,0,0,1,1,0,1,1,13.400,0,15.750,62488,56.100,8,4,-4,False,True,False,False,True
1,22,2019,1,0,3,1,1,1,1,2,80,0,0,1,1,0,1,1,13.400,0,15.750,50000,56.100,8,4,-4,False,True,False,True,False
1,20,2020,1,1,2,2,0,1,1,1,95,0,0,1,2,1,0,0,13.400,0,15.750,30000,56.100,8,4,-4,False,True,False,False,True
1,22,2018,1,0,2,4,1,1,1,2,80,0,0,0,6,0,1,1,13.400,0,15.750,20000,56.100,8,4,-4,False,True,False,False,True
0,22,2019,1,0,2,2,0,1,1,2,100,1,0,1,1,0,1,0,19.000,0,18.200,32500,54.600,8,4,-4,True,False,False,False,True
1,20,2020,1,0,3,2,0,1,1,2,90,0,0,0,3,0,1,0,13.400,0,15.750,20000,56.100,8,4,-4,False,True,False,False,True
0,22,2020,1,1,5,2,0,1,1,2,100,0,0,1,1,0,0,0,13.400,0,15.750,25000,56.100,8,4,-4,False,True,False,False,True
1,22,2019,1,1,3,2,1,1,1,3,90,0,0,1,1,1,0,0,13.400,0,15.750,50000,56.100,8,4,-4,False,True,False,False,True
1,22,2019,0,0,3,2,0,1,1,2,90,0,0,0,2,0,1,1,17.000,0,17.650,20000,54.600,8,4,-4,True,False,False,False,True
0,22,2020,0,1,1,1,0,1,1,1,100,0,0,1,2,0,0,0,13.400,0,15.750,50000,56.100,8,4,-4,True,False,False,False,True
0,21,2019,1,0,3,2,0,1,1,1,90,0,0,0,1,0,1,0,13.400,0,15.750,24000,56.100,8,4,-4,False,True,False,False,True
0,21,2018,0,1,2,2,0,1,1,1,97,0,0,0,2,0,0,0,13.400,0,15.750,70000,56.100,8,4,-4,True,False,False,False,True
1,20,2020,1,1,2,1,0,1,1,1,95,0,0,1,3,1,0,0,19.650,0,19.450,30000,54.600,8,4,-4,True,False,False,False,True
1,22,2019,1,1,5,3,1,1,1,1,95,0,0,1,2,1,0,0,13.400,0,15.750,40000,56.100,8,4,-4,False,True,False,False,True
0,21,2020,1,0,5,1,0,1,1,2,97,0,0,0,2,0,0,0,13.400,0,15.750,50000,56.100,8,4,-4,True,False,False,False,True
1,21,2020,1,0,1,2,1,1,1,3,70,0,0,1,2,0,0,0,15.500,0,17.500,62488,54.600,8,4,-4,False,False,False,True,False
1,19,2020,0,1,3,2,1,1,1,2,70,1,0,1,2,0,0,0,13.400,0,15.750,20000,56.100,8,4,-4,False,True,False,False,True
0,21,2019,1,0,3,2,0,1,1,2,96,0,0,1,1,1,1,0,19.050,0,18.250,30000,53.000,8,4,-4,False,True,False,False,True
1,21,2020,1,0,3,3,0,1,1,2,80,1,0,0,2,0,1,0,13.400,0,15.750,50000,56.100,8,4,-4,False,True,False,False,True
1,22,2020,1,0,2,1,0,1,1,2,98,0,0,1,2,1,1,0,13.400,0,15.750,20000,56.100,8,4,-4,False,True,False,False,True
0,21,2019,0,1,6,3,0,1,1,3,95,0,0,0,3,1,0,0,13.400,0,15.750,25000,56.100,10,4,-6,False,True,False,False,True
1,21,2020,1,1,1,1,1,1,1,1,85,0,0,1,2,1,1,1,19.450,0,19.050,35000,54.600,8,4,-4,False,False,False,False,True
0,20,2020,0,0,3,2,0,1,1,1,97,0,0,1,2,0,0,0,18.950,0,19.100,50000,60.800,8,4,-4,True,False,False,False,True
1,20,2020,0,0,4,3,0,1,0,3,95,0,0,0,2,1,1,0,13.400,0,15.750,4000,56.100,8,4,-4,True,False,False,False,True
1,19,2020,1,1,2,1,1,1,1,4,70,1,0,1,4,1,0,1,17.750,0,17.400,40000,54.600,8,4,-4,False,True,False,False,True
1,21,2020,1,1,2,1,1,1,1,2,95,0,0,1,2,1,1,1,16.400,0,16.600,8000,56.100,8,4,-4,False,True,False,False,True
1,25,2020,1,0,3,3,0,1,1,2,100,0,0,1,3,1,1,0,13.400,0,15.750,47972,56.100,8,4,-4,False,True,False,False,True
1,20,2020,1,1,3,3,1,1,1,4,90,0,0,1,2,0,0,0,13.400,0,15.750,30000,17.100,6,2,-4,False,True,False,False,True
1,20,2020,1,1,4,2,0,1,1,2,95,0,0,1,3,1,0,0,13.400,0,15.750,90000,17.100,6,2,-4,False,True,False,False,True
1,21,2021,0,0,5,5,0,1,1,2,90,0,0,0,1,0,1,0,13.400,0,15.750,30000,17.100,6,2,-4,False,True,False,False,True
1,23,2018,1,0,8,4,0,1,1,2,100,0,0,0,2,1,1,0,13.400,0,15.750,37000,56.100,8,4,-4,False,True,False,False,True
1,20,2020,1,1,1,1,0,1,1,2,95,0,0,0,1,1,0,0,13.400,0,15.750,35000,17.100,6,2,-4,True,False,False,False,True
0,20,2020,1,1,3,1,1,1,0,1,80,0,0,0,2,1,0,0,13.400,0,15.750,50000,17.100,6,2,-4,False,True,False,False,True
0,21,2019,1,0,2,1,0,1,1,3,99,0,0,1,2,0,1,0,13.400,0,15.750,30000,17.100,6,2,-4,True,False,False,False,True
1,24,2016,0,0,2,2,1,1,1,5,70,1,0,1,4,0,1,1,13.400,0,15.750,20000,196.400,12,11,-1,True,False,False,False,True
0,20,2020,1,1,4,2,0,1,1,4,100,0,0,1,1,0,0,0,13.400,0,15.750,80000,17.100,6,2,-4,False,True,False,False,True
0,22,2019,1,1,5,2,0,1,1,3,98,0,0,1,2,1,1,0,13.400,0,15.750,40000,17.100,8,2,-6,False,False,False,False,True
1,20,2020,1,0,5,5,0,1,1,6,100,0,0,1,3,0,1,0,13.400,0,15.750,20000,17.100,6,2,-4,True,False,False,False,True
1,21,2020,0,0,3,2,0,1,1,2,97,0,0,1,2,1,1,0,13.400,0,15.750,10000,17.100,6,2,-4,True,False,False,False,True
1,21,2020,1,1,3,3,0,1,1,1,98,0,0,1,4,0,1,0,13.400,0,15.750,10000,17.100,6,2,-4,True,False,False,False,True
1,19,2020,1,1,5,3,1,1,1,6,90,0,0,1,1,1,0,0,13.400,0,15.750,40000,17.100,6,2,-4,False,True,False,False,True
1,19,2020,1,1,4,2,1,1,1,2,90,0,0,1,2,1,0,0,13.400,0,15.750,40000,17.100,6,2,-4,False,True,False,False,True
1,19,2020,1,0,4,2,0,1,1,1,95,0,0,1,3,0,1,0,13.400,0,15.750,25000,17.100,6,2,-4,True,False,False,False,True
