codigo_anonimo,escuela_profesional,semestre_actual,sgpa_previo,cgpa_actual,creditos_completados,asistencia_promedio_pct,estado_observado,desaprobo_alguna_asignatura,horas_estudio_diarias,horas_redes_diarias,horas_habilidades_diarias,edad,ingreso_familiar_mensual_soles,beca_subvencion_economica,anio_egreso_secundaria,planea_matricularse_prox_ciclo,probabilidad_matricula_pct,motivo_no_matricula,promedio_final_ciclo_actual
P0001,Ingeniería de Software,10,8.79,13.51,137,91.0,No,Sí,5.0,2.0,2.0,23,4205,No,2019,Sí,58,,3.48
P0002,Ingeniería de Sistemas,9,7.13,12.75,121,87.0,No,Sí,3.0,2.0,4.0,25,8673,No,2018,Sí,91,,5.59
P0003,Ingeniería de Sistemas,4,17.57,19.65,27,90.0,No,No,4.0,1.0,2.0,21,2363,No,2019,Sí,45,,13.42
P0004,Ingeniería de Software,10,9.39,15.05,143,89.0,Sí,Sí,5.0,3.0,4.0,24,5173,No,2018,Sí,52,,5.86
P0005,Ingeniería de Software,4,13.72,15.88,36,82.0,No,No,2.0,2.0,4.0,20,2598,No,2020,Sí,37,,13.91
P0006,Ingeniería de Sistemas,4,18.33,19.7,35,90.0,No,No,7.0,3.0,1.0,19,3582,No,2020,Sí,61,,12.98
P0007,Ciencia de la Computación,3,17.18,17.84,23,70.0,No,Sí,3.0,4.0,2.0,22,1054,No,2019,Sí,21,,10.63
P0008,Ingeniería de Software,2,13.19,16.4,11,90.0,No,Sí,1.0,1.0,2.0,19,1450,No,2020,Sí,32,,7.55
P0009,Ingeniería de Software,8,14.02,15.27,88,95.0,No,Sí,1.0,2.0,2.0,21,2634,No,2019,Sí,42,,8.61
P0010,Ingeniería de Sistemas,10,13.25,18.91,134,100.0,No,Sí,1.0,2.0,2.0,20,3432,No,2020,Sí,53,,9.84
P0011,Ingeniería de Sistemas,8,18.24,18.97,88,100.0,No,No,5.0,15.0,4.0,22,1782,No,2018,Sí,49,,13.09
P0012,Ingeniería de Software,4,12.0,15.33,36,80.0,No,Sí,3.0,3.0,3.0,22,1801,No,2018,Sí,48,,8.76
P0013,Ingeniería de Sistemas,8,11.66,17.77,100,100.0,No,Sí,4.0,6.0,2.0,21,5200,No,2020,Sí,83,,10.23
P0014,Ingeniería de Sistemas,9,15.12,16.59,101,99.0,No,No,3.0,1.0,4.0,20,2191,No,2019,Sí,40,,11.15
P0015,Ingeniería de Sistemas,8,16.05,16.46,122,100.0,No,Sí,5.0,3.0,2.0,22,2192,No,2017,Sí,39,,9.15
P0016,Ingeniería de Software,4,8.21,16.11,67,85.0,Sí,Sí,3.0,2.0,2.0,20,2966,No,2021,Sí,18,,6.25
P0017,Ingeniería de Sistemas,4,19.07,18.39,49,80.0,No,No,1.0,2.0,4.0,21,2330,No,2019,Sí,44,,13.79
P0018,Ingeniería de Sistemas,5,13.05,15.62,50,80.0,No,Sí,3.0,3.0,1.0,21,3160,No,2019,Sí,50,,8.72
P0019,Ingeniería de Software,3,14.46,15.39,23,100.0,No,No,3.0,1.0,1.0,21,3858,No,2020,Sí,57,,12.58
P0020,Ingeniería de Software,2,15.22,15.07,11,98.0,No,No,5.0,3.0,2.0,22,2270,No,2019,Sí,53,,12.3
P0021,Ingeniería de Software,2,19.84,19.9,12,100.0,No,Sí,0.0,4.0,1.0,20,831,No,2020,Sí,29,,8.8
P0022,Ciencia de la Computación,2,15.74,16.08,11,92.0,No,Sí,2.0,1.0,4.0,20,1370,No,2020,Sí,40,,10.99
P0023,Ingeniería de Software,5,9.82,14.77,60,100.0,Sí,Sí,2.0,3.0,2.0,20,5519,No,2021,Sí,51,,3.35
P0024,Ingeniería de Software,8,13.47,16.24,126,85.0,No,Sí,3.0,1.0,2.0,23,2331,No,2017,Sí,40,,8.89
P0025,Ingeniería de Software,2,13.54,13.41,11,100.0,No,Sí,2.0,4.0,0.0,22,2509,No,2020,Sí,47,,12.889501997621352
P0026,Ingeniería de Sistemas,10,14.27,15.8,104,70.0,No,No,4.0,1.0,2.0,26,1061,No,2014,Sí,0,,12.34
P0027,Ingeniería de Sistemas,2,13.91,13.35,12,100.0,No,No,2.0,2.0,3.0,20,6030,No,2021,Sí,84,,12.54
P0028,Ingeniería de Sistemas,2,18.35,17.15,14,90.0,No,Sí,5.0,3.0,1.0,20,600,No,2020,Sí,21,,10.6
P0029,Ingeniería de Sistemas,8,17.82,17.72,88,100.0,No,No,2.0,2.0,3.0,21,4917,No,2019,Sí,75,,12.22
P0030,Ingeniería de Software,4,16.87,18.23,27,90.0,No,No,4.0,1.0,2.0,21,2215,No,2019,Sí,33,,12.92
P0031,Ingeniería de Sistemas,6,10.68,16.86,86,70.0,No,Sí,6.0,5.0,5.0,21,5004,No,2021,Sí,61,,9.59
P0032,Ingeniería de Sistemas,9,15.78,17.69,117,100.0,No,No,1.0,1.0,2.0,26,2191,No,2013,Sí,59,,11.63
P0033,Ingeniería de Sistemas,9,12.73,17.95,117,88.0,No,No,2.0,2.0,1.0,20,5619,No,2020,Sí,80,,11.28
P0034,Ingeniería de Software,9,13.07,19.55,143,78.0,No,Sí,5.0,1.0,4.0,25,4793,No,2018,No,72,Exceso de carga laboral,7.68
P0035,Ingeniería de Sistemas,9,13.98,16.23,136,75.0,No,No,2.0,1.0,3.0,23,1980,No,2017,No,23,Exceso de carga laboral,11.04
P0036,Ingeniería de Sistemas,2,16.05,15.89,12,95.0,No,No,2.0,1.0,2.0,20,1732,No,2020,Sí,28,,11.46
P0037,Ingeniería de Sistemas,8,9.64,13.8,117,60.0,Sí,Sí,3.0,6.0,2.0,20,5779,No,2019,Sí,51,,5.39
P0038,Ciencia de la Computación,8,16.92,17.16,85,100.0,No,No,6.0,2.0,3.0,21,3659,No,2019,Sí,61,,12.56
P0039,Ciencia de la Computación,2,13.8,15.3,11,90.0,No,Sí,3.0,3.0,1.0,19,2648,No,2020,Sí,38,,8.49
P0040,Ingeniería de Software,2,16.33,16.68,12,100.0,No,Sí,8.0,2.0,1.0,21,2821,No,2020,Sí,54,,7.67
P0041,Ingeniería de Software,8,9.97,15.09,143,100.0,Sí,Sí,2.0,3.0,4.0,22,7265,No,2019,Sí,84,,5.43
P0042,Ingeniería de Sistemas,10,14.17,14.71,112,100.0,No,Sí,3.0,3.0,2.0,22,2810,No,2018,No,46,Falta de motivación,8.57
P0043,Ingeniería de Sistemas,8,14.07,11.24,62,80.0,No,Sí,3.0,5.0,1.0,21,3302,No,2019,No,47,Exceso de carga laboral,10.43
P0044,Ingeniería de Sistemas,9,15.48,14.55,120,70.0,No,No,4.0,5.0,2.0,23,5331,No,2018,Sí,87,,12.9
P0045,Ciencia de la Computación,2,17.43,17.89,11,99.0,No,No,3.0,3.0,1.0,20,1067,No,2020,No,20,Falta de motivación,12.67
P0046,Ingeniería de Sistemas,10,13.49,19.09,136,100.0,No,Sí,1.0,10.0,1.0,21,3339,No,2019,Sí,44,,6.2
P0047,Ingeniería de Software,4,13.41,19.9,29,100.0,No,No,5.0,4.0,2.0,19,5181,No,2021,Sí,69,,14.64
P0048,Ciencia de la Computación,8,17.28,19.18,110,95.0,No,No,4.0,2.0,1.0,21,10000,No,2019,Sí,96,,14.77
P0049,Ingeniería de Software,1,0.62,1.25,0,85.0,No,Sí,4.0,2.0,2.0,20,1540,No,2018,Sí,17,,5.49
P0050,Ingeniería de Software,3,19.6,17.73,23,50.0,No,No,5.0,3.0,2.0,26,4978,No,2014,No,57,Salud u otros,12.67
P0051,Ingeniería de Sistemas,2,20.0,19.82,12,90.0,No,No,2.0,8.0,3.0,22,600,No,2020,Sí,32,,14.95
