iter	RMSE
0	3.639983524
1	3.54460895
2	3.458271903
3	3.368363435
4	3.282813003
5	3.2136218
6	3.140131538
7	3.07055754
8	2.999159676
9	2.924613812
10	2.851560304
11	2.783989033
12	2.724927418
13	2.664364589
14	2.60732392
15	2.559023147
16	2.502262921
17	2.454057997
18	2.409618956
19	2.372749128
20	2.329517221
21	2.291169763
22	2.248569443
23	2.213928513
24	2.179968345
25	2.147499734
26	2.115393278
27	2.077800943
28	2.051537362
29	2.01991095
30	1.992202146
31	1.969142693
32	1.941731301
33	1.915760946
34	1.893555833
35	1.869766051
36	1.85177211
37	1.831848414
38	1.812437619
39	1.790806804
40	1.773274645
41	1.763311053
42	1.747706923
43	1.735355397
44	1.720612836
45	1.703005979
46	1.68577886
47	1.673401833
48	1.660381908
49	1.650382051
50	1.639749763
51	1.628345081
52	1.616503044
53	1.603832715
54	1.592323847
55	1.582553058
56	1.569402264
57	1.5605468
58	1.549897423
59	1.539102182
60	1.531279512
61	1.5196269
62	1.511282687
63	1.502277543
64	1.494247825
65	1.486235354
66	1.479350702
67	1.471010085
68	1.464283957
69	1.458100637
70	1.450094328
71	1.444195744
72	1.43768829
73	1.427733123
74	1.421328578
75	1.411435496
76	1.402885699
77	1.398588798
78	1.394213995
79	1.386742419
80	1.3827889
81	1.376031628
82	1.370179726
83	1.364551774
84	1.359311445
85	1.355430737
86	1.352952681
87	1.346821805
88	1.34188233
89	1.338593911
90	1.335445386
91	1.330842947
92	1.325412098
93	1.320293012
94	1.315852958
95	1.311507182
96	1.307544226
97	1.30128459
98	1.297027318
99	1.296014758
100	1.293570214
101	1.289263296
102	1.284081066
103	1.279973726
104	1.275245588
105	1.270303241
106	1.267080044
107	1.265813686
108	1.263224658
109	1.260862856
110	1.256742915
111	1.254383858
112	1.250805698
113	1.247797023
114	1.245168436
115	1.24200774
116	1.238642931
117	1.235407041
118	1.233829362
119	1.228990437
120	1.224870957
121	1.222483159
122	1.218688669
123	1.214304495
124	1.211529392
125	1.208914291
126	1.206894919
127	1.203926226
128	1.202894086
129	1.200515537
130	1.197084875
131	1.194599251
132	1.1915559
133	1.189689752
134	1.187543915
135	1.185663547
136	1.183138845
137	1.181005348
138	1.177713854
139	1.175708862
140	1.173912174
141	1.170779204
142	1.167272503
143	1.163010844
144	1.160709792
145	1.158537246
146	1.15764139
147	1.155458525
148	1.153193736
149	1.151551982
150	1.146384476
151	1.144628451
152	1.14385863
153	1.141388112
154	1.139165531
155	1.136650587
156	1.136133374
157	1.13444575
158	1.131217165
159	1.127977636
160	1.125598605
161	1.124224764
162	1.122320562
163	1.118563909
164	1.115864566
165	1.114326751
166	1.111831885
167	1.111379385
168	1.109897615
169	1.108092343
170	1.107285352
171	1.105851395
172	1.104134335
173	1.102398442
174	1.100201079
175	1.09849916
176	1.095667296
177	1.093348017
178	1.091495711
179	1.089711135
180	1.088184422
181	1.084622927
182	1.082956587
183	1.080201641
184	1.079408748
185	1.078168274
186	1.075913324
187	1.074695407
188	1.074315455
189	1.073022591
190	1.071524591
191	1.070340044
192	1.070105565
193	1.068355196
194	1.066239222
195	1.065119467
196	1.063328661
197	1.061831477
198	1.060425609
199	1.058065762
200	1.05632079
201	1.054086015
202	1.053231482
203	1.051905372
204	1.050758093
205	1.049115091
206	1.045816198
207	1.042240269
208	1.04205097
209	1.041689213
210	1.040401588
211	1.038079253
212	1.037260701
213	1.0357473
214	1.033383598
215	1.031724566
216	1.029032346
217	1.028431533
218	1.027072303
219	1.02628878
220	1.024159704
221	1.023237293
222	1.022352504
223	1.021312856
224	1.019685343
225	1.017580166
226	1.01662104
227	1.014664568
228	1.012345215
229	1.011297532
230	1.009412652
231	1.00874476
232	1.008596592
233	1.006069356
234	1.005914995
235	1.005723542
236	1.004410456
237	1.002655367
238	1.001146939
239	0.9970342275
240	0.9940328379
241	0.9929998165
242	0.9915670985
243	0.9909564456
244	0.9908701429
245	0.9882973923
246	0.9882049997
247	0.9867098148
248	0.9850433807
249	0.9849636561
250	0.9833245343
251	0.983260251
252	0.9819862415
253	0.9812837266
254	0.9799494568
255	0.9777811813
256	0.9764510797
257	0.9755297514
258	0.9742902298
259	0.9731126452
260	0.9703121207
261	0.9682769199
262	0.9680454531
263	0.9663952874
264	0.9652704073
265	0.9639551714
266	0.9638979458
267	0.9614157055
268	0.9605728164
269	0.9601116132
270	0.9588572786
271	0.9573620523
272	0.955809535
273	0.9546310601
274	0.9539894122
275	0.9531937724
276	0.9530828912
277	0.9530045554
278	0.9517812045
279	0.9507236565
280	0.9496156955
281	0.9478908152
282	0.9455645305
283	0.9419943844
284	0.9419018788
285	0.9408218107
286	0.9395335204
287	0.9389094957
288	0.938191922
289	0.9370148695
290	0.9357866112
291	0.9347311666
292	0.933802797
293	0.9337189652
294	0.9314113638
295	0.929753598
296	0.9296731516
297	0.9281055269
298	0.9264337671
299	0.9249464508
300	0.9229102606
301	0.9224328317
302	0.920178196
303	0.9201024087
304	0.9183223236
305	0.9177543208
306	0.9162076967
307	0.9148336736
308	0.9143738001
309	0.913353112
310	0.9132846307
311	0.9132185671
312	0.9115362464
313	0.9113837074
314	0.9100838971
315	0.908659037
316	0.9072277589
317	0.9061866307
318	0.9054716476
319	0.9040886586
320	0.9024099487
321	0.9001737839
322	0.8986125009
323	0.8964888351
324	0.8953830759
325	0.8952760076
326	0.8938195621
327	0.8927840296
328	0.8927049712
329	0.8913244721
330	0.8912627554
331	0.8894557095
332	0.8880388687
333	0.8871178274
334	0.8864479288
335	0.8856087184
336	0.8846160172
337	0.8845458656
338	0.8844405115
339	0.8838783479
340	0.8837658029
341	0.8819817867
342	0.8802733677
343	0.878980463
344	0.8775363395
345	0.8762153181
346	0.8760367623
347	0.8747852789
348	0.8723661688
349	0.8714395295
350	0.870451742
351	0.8703634098
352	0.8702432256
353	0.8691543578
354	0.8680656234
355	0.865890294
356	0.8648432099
357	0.8640633256
358	0.8640199536
359	0.8623934325
360	0.8606949175
361	0.8593075478
362	0.8592147458
363	0.8578789269
364	0.8561619378
365	0.8560464775
366	0.8539611084
367	0.8539195365
368	0.8520080436
369	0.8509893976
370	0.8497417909
371	0.8476234675
372	0.8470464138
373	0.8454045171
374	0.8445518114
375	0.8426568295
376	0.8411966928
377	0.8382913797
378	0.8376703921
379	0.8357599558
380	0.8348214923
381	0.8337488778
382	0.8334554883
383	0.8323209453
384	0.8307474314
385	0.8299857669
386	0.8289002705
387	0.8282371186
388	0.8278288514
389	0.8266670435
390	0.8240594509
391	0.8226676365
392	0.821540247
393	0.8201559885
394	0.8196123911
395	0.8195098053
396	0.8193490858
397	0.8175699797
398	0.8175090087
399	0.8174578577
400	0.8165994075
401	0.8154444896
402	0.8145706666
403	0.8137932435
404	0.8125700624
405	0.8125369673
406	0.8110598342
407	0.8102575232
408	0.8101523266
409	0.8100823352
410	0.8085854392
411	0.8073074644
412	0.8059640282
413	0.8054054965
414	0.8043251445
415	0.8032852957
416	0.802414515
417	0.8006949783
418	0.7998935315
419	0.7991297299
420	0.7984126178
421	0.7971708436
422	0.7966969798
423	0.7939412273
424	0.7922593062
425	0.7913187522
426	0.7907346132
427	0.7899451371
428	0.7890445549
429	0.7884224728
430	0.787654223
431	0.7875912671
432	0.7868296751
433	0.7852191868
434	0.7840978824
435	0.783151856
436	0.7821173801
437	0.7813664164
438	0.7812422147
439	0.7805146236
440	0.7796739169
441	0.7780829519
442	0.7773772946
443	0.776171115
444	0.7747511058
445	0.7746504465
446	0.7731025786
447	0.7722556489
448	0.7715490748
449	0.7714085565
450	0.7706468797
451	0.7693912927
452	0.768266687
453	0.7675032256
454	0.7668827462
455	0.7657336682
456	0.7646623863
457	0.7642081023
458	0.7630547474
459	0.7616502454
460	0.7614718471
461	0.7602946724
462	0.759490345
463	0.7577327311
464	0.7563253815
465	0.7559076299
466	0.7549894329
467	0.7544153572
468	0.753202742
469	0.752271287
470	0.7518602334
471	0.7505031583
472	0.750206919
473	0.74893738
474	0.7468170927
475	0.7464104669
476	0.7452059773
477	0.7436565637
478	0.7427431492
479	0.7422739634
480	0.7412926727
481	0.7402156068
482	0.7396701801
483	0.7372867485
484	0.7367019188
485	0.7357639623
486	0.7349421761
487	0.733510538
488	0.7329161102
489	0.7327931928
490	0.7321430759
491	0.7310522228
492	0.7301123266
493	0.729105602
494	0.7287033839
495	0.7282741033
496	0.7274434283
497	0.7270274455
498	0.7258416541
499	0.7254661676
500	0.724875474
501	0.7238467532
502	0.7225860877
503	0.7218410177
504	0.7206909449
505	0.7200451946
506	0.7194328867
507	0.7185849678
508	0.7177342524
509	0.7166087121
510	0.7160859045
511	0.7147077552
512	0.7141667698
513	0.7135899686
514	0.7129458843
515	0.7127314808
516	0.7117542362
517	0.7110652521
518	0.710427503
519	0.7098612818
520	0.7086336544
521	0.7070029376
522	0.7051309573
523	0.7045190942
524	0.7035600204
525	0.703334823
526	0.7015150148
527	0.7012220663
528	0.7004654605
529	0.6994609338
530	0.6984520002
531	0.6974508223
532	0.6966349032
533	0.695676373
534	0.6946530107
535	0.6938954589
536	0.6928193003
537	0.6922569473
538	0.6918620957
539	0.6912248651
540	0.6902363872
541	0.6893342218
542	0.6887156111
543	0.6873439436
544	0.6867880358
545	0.6859286692
546	0.6843216367
547	0.6834231085
548	0.6826284659
549	0.6819572931
550	0.6810672943
551	0.6802709537
552	0.6791117025
553	0.6783965072
554	0.6777933572
555	0.6771259192
556	0.676272501
557	0.6759208709
558	0.6753319795
559	0.67488078
560	0.6743522048
561	0.6735499017
562	0.6726109216
563	0.6722203925
564	0.6712680131
565	0.6706054337
566	0.6700212618
567	0.6693799171
568	0.6679944728
569	0.6671630197
570	0.6662616673
571	0.6655453715
572	0.6644218872
573	0.663863136
574	0.6635251757
575	0.6633531325
576	0.6629019511
577	0.6619451565
578	0.6616653706
579	0.6611983308
580	0.6603949026
581	0.6596105582
582	0.6589336795
583	0.6584633112
584	0.6574504993
585	0.6568084159
586	0.6558795929
587	0.6552917476
588	0.6549223139
589	0.6540160452
590	0.6531915752
591	0.6520842674
592	0.6518255943
593	0.6504237581
594	0.6496968477
595	0.649314215
596	0.6483362485
597	0.6477413796
598	0.6471832611
599	0.6463228646
600	0.6454836596
601	0.6450832302
602	0.6441524976
603	0.6435135629
604	0.6433517084
605	0.6429869683
606	0.642311407
607	0.6418118833
608	0.6413684256
609	0.6408190349
610	0.6398280187
611	0.63896655
612	0.6383071284
613	0.6374278369
614	0.6369206323
615	0.6360910786
616	0.6352698163
617	0.6346201699
618	0.6338211065
619	0.6336910897
620	0.6329838488
621	0.6318154201
622	0.6310194167
623	0.6308206191
624	0.6300859586
625	0.6294442126
626	0.6292928579
627	0.6284211702
628	0.627295442
629	0.6272068432
630	0.6265574442
631	0.6260443526
632	0.6260195209
633	0.6253013517
634	0.6241981866
635	0.6235575235
636	0.6235184426
637	0.6226806223
638	0.6220191929
639	0.6211757472
640	0.6205648403
641	0.6198619478
642	0.6192541148
643	0.6183921186
644	0.6175440065
645	0.6170843424
646	0.6162476622
647	0.6155806148
648	0.614995755
649	0.6141092472
650	0.6136286434
651	0.6130226033
652	0.6120245606
653	0.6114226711
654	0.6104791356
655	0.610316832
656	0.6102535406
657	0.6095066523
658	0.608979158
659	0.6082640912
660	0.6076935829
661	0.6073657684
662	0.606765701
663	0.6065425565
664	0.6061049025
665	0.6056605927
666	0.6052819289
667	0.6046998715
668	0.6045505893
669	0.6044055127
670	0.6034172658
671	0.6029525893
672	0.6027207963
673	0.6024198268
674	0.6020717502
675	0.6013683759
676	0.6005947735
677	0.600425991
678	0.5997066242
679	0.599346686
680	0.5989867921
681	0.5980564839
682	0.5975974187
683	0.596983427
684	0.596351806
685	0.5958760312
686	0.5952687197
687	0.5951372732
688	0.5944939307
689	0.5942850762
690	0.5940094838
691	0.593883071
692	0.5938151244
693	0.5932258017
694	0.5926771036
695	0.5918936221
696	0.5912704728
697	0.5911521878
698	0.5904645719
699	0.5898151814
700	0.5890912301
701	0.5886191126
702	0.5885842882
703	0.5881111168
704	0.5875596903
705	0.5868442104
706	0.5862247245
707	0.5856174348
708	0.5852007788
709	0.5845345539
710	0.5844585456
711	0.5836533903
712	0.5830770624
713	0.5823603064
714	0.581826259
715	0.5811859204
716	0.5805108857
717	0.5799572391
718	0.5791611014
719	0.5786424093
720	0.5784047776
721	0.5776246544
722	0.5769735214
723	0.5767196307
724	0.576251643
725	0.5756404393
726	0.5749286575
727	0.5748763578
728	0.5743316485
729	0.5742192463
730	0.5736735967
731	0.5733528921
732	0.5733251779
733	0.5729220912
734	0.5721415235
735	0.5719364026
736	0.571425458
737	0.5708931422
738	0.5703816775
739	0.5701380029
740	0.5694095793
741	0.5690867198
742	0.5682700748
743	0.5680320225
744	0.5677836382
745	0.5674114498
746	0.5672964855
747	0.5666633114
748	0.5665692934
749	0.5663905104
750	0.5662390789
751	0.5660788635
752	0.5657430606
753	0.5655660644
754	0.5648818708
755	0.5641708041
756	0.563913044
757	0.5637781968
758	0.5633398376
759	0.5625323081
760	0.5620982633
761	0.5616384746
762	0.5610433995
763	0.560343043
764	0.5599455788
765	0.559933077
766	0.5596451746
767	0.5594270632
768	0.5589441815
769	0.5583524465
770	0.5578050051
771	0.5573529307
772	0.5572473437
773	0.5564798977
774	0.556437404
775	0.5557322137
776	0.5553891224
777	0.5545010237
778	0.5539878635
779	0.5537170064
780	0.5536218398
781	0.5535735983
782	0.5531768253
783	0.5526983833
784	0.5520593491
785	0.5516270752
786	0.5509525266
787	0.5505443701
788	0.550051387
789	0.5496821207
790	0.5493791763
791	0.5486462314
792	0.5486325674
793	0.5483445799
794	0.5475996931
795	0.5473320189
796	0.5469272373
797	0.5465217965
798	0.5462080794
799	0.5461850633
800	0.5459488258
801	0.5456749919
802	0.5452941505
803	0.5449572988
804	0.5441572178
805	0.5438940244
806	0.5435238837
807	0.5430264053
808	0.5429532176
809	0.5428767953
810	0.5428495458
811	0.5421401629
812	0.5417515174
813	0.5414306965
814	0.5411367394
815	0.5406702585
816	0.5406583566
817	0.540649066
818	0.5406386679
819	0.5399632392
820	0.5396712192
821	0.5391220296
822	0.5389322541
823	0.5383439746
824	0.5380588076
825	0.5377093445
826	0.5374496522
827	0.5369391292
828	0.5366717278
829	0.5365745627
830	0.536222688
831	0.5356609516
832	0.5356011239
833	0.5353320558
834	0.5347004531
835	0.5337872892
836	0.5334014096
837	0.5333038626
838	0.5330623235
839	0.532566373
840	0.53220953
841	0.5316298003
842	0.5313373381
843	0.5309641009
844	0.5303146898
845	0.5299839594
846	0.5297151516
847	0.5288368162
848	0.5283362535
849	0.5278538693
850	0.5276187269
851	0.5271823763
852	0.5268722282
853	0.5262203027
854	0.5259536111
855	0.5255725335
856	0.5254272059
857	0.5253714253
858	0.5249986759
859	0.5245391551
860	0.5243619642
861	0.524344221
862	0.5237524225
863	0.5233242508
864	0.5228138688
865	0.522311333
866	0.5217395871
867	0.5215500157
868	0.5213678564
869	0.5211373485
870	0.5210207024
871	0.5204033262
872	0.5198881801
873	0.519447266
874	0.5187423653
875	0.5183702293
876	0.5178066953
877	0.5173417471
878	0.5170726302
879	0.5170055343
880	0.5167790777
881	0.5164442643
882	0.5161058264
883	0.515560738
884	0.5151985585
885	0.5150503736
886	0.5146713922
887	0.513817341
888	0.513305376
889	0.5127152823
890	0.512437323
891	0.5123039073
892	0.512087937
893	0.5119107002
894	0.5115687754
895	0.5114851399
896	0.5110553247
897	0.510615281
898	0.5103699018
899	0.5100040601
900	0.5096938513
901	0.5088744503
902	0.5087841749
903	0.5085804457
904	0.50784849
905	0.5078413668
906	0.507526966
907	0.5075200747
908	0.5070850611
909	0.5064965992
910	0.5062248531
911	0.5057394023
912	0.5051766068
913	0.5048311997
914	0.5043345447
915	0.5039327389
916	0.5038289174
917	0.5036073773
918	0.503351169
919	0.5028686436
920	0.502448842
921	0.5017834008
922	0.5014650886
923	0.5008245648
924	0.5001928995
925	0.4998851772
926	0.4991078476
927	0.4986635495
928	0.4984575417
929	0.4981216438
930	0.4980561225
931	0.4979190389
932	0.4974599434
933	0.4972323967
934	0.4966827906
935	0.4960397532
936	0.4955115676
937	0.4953174158
938	0.4952145048
939	0.4948295059
940	0.4944375154
941	0.4943604948
942	0.493853327
943	0.4937402481
944	0.4935779352
945	0.4934715902
946	0.4930451811
947	0.4925387239
948	0.4924307147
949	0.4919028635
950	0.4917855344
951	0.491210462
952	0.4908910677
953	0.4902512075
954	0.4897852033
955	0.4895409745
956	0.4888140154
957	0.488578037
958	0.4882012952
959	0.4878330395
960	0.4876911227
961	0.4874058254
962	0.4873629766
963	0.4868963404
964	0.4866232217
965	0.486501587
966	0.486100114
967	0.4858719501
968	0.4857744981
969	0.4855076186
970	0.4851211906
971	0.4846468387
972	0.4845566965
973	0.484117103
974	0.4835437375
975	0.4834696473
976	0.4829900359
977	0.4825909779
978	0.4821398416
979	0.4815694391
980	0.4810247609
981	0.4809144072
982	0.4806381597
983	0.4805594963
984	0.4804013785
985	0.4803442458
986	0.4802722053
987	0.4798787304
988	0.4790472424
989	0.4787790922
990	0.4784817028
991	0.4784188105
992	0.4782771022
993	0.4779405993
994	0.4778429852
995	0.4773379986
996	0.4771711612
997	0.4770421642
998	0.4767253924
999	0.4763521228
