iter	Passed	Remaining
0	177	177650
1	182	90912
2	185	61523
3	188	46890
4	191	38057
5	195	32437
6	198	28215
7	201	25018
8	204	22518
9	207	20577
10	212	19079
11	215	17723
12	218	16555
13	221	15572
14	224	14710
15	228	14031
16	231	13363
17	234	12771
18	237	12237
19	240	11773
20	244	11397
21	247	10995
22	250	10628
23	253	10292
24	256	9987
25	260	9767
26	264	9521
27	267	9280
28	270	9043
29	273	8832
30	277	8678
31	280	8490
32	283	8319
33	286	8150
34	289	7994
35	294	7877
36	297	7736
37	300	7599
38	303	7467
39	306	7357
40	310	7255
41	313	7141
42	316	7033
43	318	6927
44	322	6846
45	326	6762
46	329	6673
47	332	6585
48	335	6505
49	338	6434
50	343	6389
51	346	6309
52	349	6236
53	351	6165
54	355	6110
55	359	6059
56	362	5997
57	365	5939
58	368	5875
59	372	5829
60	375	5780
61	378	5724
62	381	5671
63	384	5623
64	388	5582
65	392	5548
66	395	5505
67	398	5457
68	400	5410
69	404	5371
70	407	5331
71	410	5286
72	413	5246
73	416	5206
74	418	5167
75	422	5132
76	425	5095
77	428	5060
78	431	5025
79	433	4990
80	438	4971
81	442	4949
82	445	4917
83	447	4883
84	450	4851
85	454	4826
86	456	4794
87	459	4762
88	462	4733
89	465	4707
90	468	4683
91	471	4655
92	474	4628
93	477	4601
94	480	4575
95	483	4553
96	486	4528
97	489	4503
98	492	4479
99	495	4459
100	498	4440
101	502	4423
102	505	4406
103	509	4390
104	512	4368
105	515	4348
106	518	4327
107	521	4306
108	524	4286
109	527	4265
110	530	4248
111	533	4228
112	536	4207
113	538	4187
114	541	4167
115	544	4150
116	547	4131
117	550	4116
118	553	4099
119	556	4081
120	559	4065
121	562	4048
122	565	4032
123	568	4015
124	571	3999
125	574	3986
126	578	3977
127	581	3962
128	584	3946
129	587	3930
130	590	3918
131	593	3904
132	596	3888
133	599	3875
134	602	3860
135	605	3846
136	608	3832
137	611	3817
138	613	3803
139	616	3788
140	619	3775
141	623	3766
142	627	3758
143	630	3747
144	633	3735
145	636	3723
146	639	3711
147	642	3697
148	645	3684
149	647	3671
150	650	3659
151	653	3646
152	656	3635
153	659	3624
154	662	3611
155	665	3600
156	668	3590
157	671	3579
158	674	3567
159	677	3555
160	680	3543
161	683	3534
162	686	3524
163	689	3512
164	692	3502
165	695	3491
166	698	3482
167	701	3472
168	704	3462
169	706	3451
170	710	3442
171	713	3436
172	717	3429
173	720	3419
174	723	3408
175	725	3398
176	729	3390
177	732	3382
178	735	3372
179	738	3362
180	740	3352
181	744	3345
182	747	3338
183	751	3331
184	754	3323
185	757	3314
186	760	3306
187	763	3298
188	766	3290
189	769	3282
190	772	3273
191	776	3267
